Operator,URL,Operator(URL),RxClojure,RxCpp,RxGroovy,RxJava 1․x,RxJava 2․x,RxJS,RxKotlin,RxNET,RxPHP,RxPY,Rxrb,RxScala,RxSwift
dropWhile,http://reactivex.io/documentation/operators/skipwhile.html,SkipWhile,drop-while,,skipWhile,skipWhile,skipWhile,skipWhile,skipWhile,SkipWhile,skipWhile; skipWhileWithIndex,skip_while,skip_while; skip_while_with_index,dropWhile,skipWhile; skipWhileWithIndex
ElementAt,http://reactivex.io/documentation/operators/elementat.html,ElementAt,nth,,elementAt; elementAtOrDefault,elementAt; elementAtOrDefault,elementAt,elementAt,elementAt; elementAtOrDefault,ElementAt; ElementAtOrDefault,,element_at; element_at_or_default,element_at; element_at_or_default,elementAt; elementAtOrDefault,elementAt
ElementAtOrDefault,http://reactivex.io/documentation/operators/elementat.html,ElementAt,nth,,elementAt; elementAtOrDefault,elementAt; elementAtOrDefault,elementAt,elementAt,elementAt; elementAtOrDefault,ElementAt; ElementAtOrDefault,,element_at; element_at_or_default,element_at; element_at_or_default,elementAt; elementAtOrDefault,elementAt
Empty,http://reactivex.io/documentation/operators/empty-never-throw.html,Empty/Never/Throw,empty; never; throw,empty; never; throw,empty; never; error,empty; never; error,empty; never; error,empty; never; throw,empty; never; error; asObservable,Empty; Never; Throw,empty; never; error,empty; never; throw; throw_exception,empty; never; raise_error,empty; never; error,empty; never; failWith
emptyObservable,http://reactivex.io/documentation/operators/empty-never-throw.html,Empty/Never/Throw,empty; never; throw,empty; never; throw,empty; never; error,empty; never; error,empty; never; error,empty; never; throw,empty; never; error; asObservable,Empty; Never; Throw,empty; never; error,empty; never; throw; throw_exception,empty; never; raise_error,empty; never; error,empty; never; failWith
empty?,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
encode,http://reactivex.io/documentation/operators/map.html,Map,keep; keep-indexed; map; map-indexed,map,byLine; cast; encode; map,byLine; cast; encode; map,cast; map,map; pluck; select,cast; map,Cast; Select,map; mapWithIndex; mapTo; select; pluck,map; pluck; select,map; map_with_index,map,map; mapWithIndex
ensures,http://reactivex.io/documentation/operators/do.html,Do,do; finally,finally,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo; doAfterTerminate,doAfterTerminate; doOnComplete; doOnDispose; doOnEach; doOnError; doOnLifecycle; doOnNext; doOnSubscribe; doOnTerminate; onTerminateDetach,do; doOnCompleted; doOnError; doOnNext; finally; tap; tapOnCompleted; tapOnError; tapOnNext,doOnCompleted; doOnEach; doOnError; doOnNext; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,Do; Finally,do; doOnError; doOnCompleted; finally,do_action; finally_action; tap,ensures; tap,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOn
error,http://reactivex.io/documentation/operators/empty-never-throw.html,Empty/Never/Throw,empty; never; throw,empty; never; throw,empty; never; error,empty; never; error,empty; never; error,empty; never; throw,empty; never; error; asObservable,Empty; Never; Throw,empty; never; error,empty; never; throw; throw_exception,empty; never; raise_error,empty; never; error,empty; never; failWith
every,http://reactivex.io/documentation/operators/all.html,All,every,,all,all,all,every; jortSort; jortSortUntil,all,All,,all; every,all?,forall,
exclusive,http://reactivex.io/documentation/operators/switch.html,Switch,,switch_on_next,switchOnNext,switchOnNext,switchOnNext; switchOnNextDelayError,switch,switchOnNext,Switch,switch; switchFirst,exclusive; select_switch; switch_latest,latest,switch,switchLatest
exists,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
expand,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
failWith,http://reactivex.io/documentation/operators/empty-never-throw.html,Empty/Never/Throw,empty; never; throw,empty; never; throw,empty; never; error,empty; never; error,empty; never; error,empty; never; throw,empty; never; error; asObservable,Empty; Never; Throw,empty; never; error,empty; never; throw; throw_exception,empty; never; raise_error,empty; never; error,empty; never; failWith
Filter,http://reactivex.io/documentation/operators/filter.html,Filter,filter,filter,filter; ofType,filter; ofType,filter; ofType,filter; where,filter; ofType,OfType; Where,filter; where,filter; slice; where,select; select_with_index,collect; filter; filterNot; BlockingObservable.withFilter; withFilter,filter
filterNot,http://reactivex.io/documentation/operators/filter.html,Filter,filter,filter,filter; ofType,filter; ofType,filter; ofType,filter; where,filter; ofType,OfType; Where,filter; where,filter; slice; where,select; select_with_index,collect; filter; filterNot; BlockingObservable.withFilter; withFilter,filter
Finally,http://reactivex.io/documentation/operators/do.html,Do,do; finally,finally,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo; doAfterTerminate,doAfterTerminate; doOnComplete; doOnDispose; doOnEach; doOnError; doOnLifecycle; doOnNext; doOnSubscribe; doOnTerminate; onTerminateDetach,do; doOnCompleted; doOnError; doOnNext; finally; tap; tapOnCompleted; tapOnError; tapOnNext,doOnCompleted; doOnEach; doOnError; doOnNext; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,Do; Finally,do; doOnError; doOnCompleted; finally,do_action; finally_action; tap,ensures; tap,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOn
finallyAction,http://reactivex.io/documentation/operators/do.html,Do,do; finally,finally,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo; doAfterTerminate,doAfterTerminate; doOnComplete; doOnDispose; doOnEach; doOnError; doOnLifecycle; doOnNext; doOnSubscribe; doOnTerminate; onTerminateDetach,do; doOnCompleted; doOnError; doOnNext; finally; tap; tapOnCompleted; tapOnError; tapOnNext,doOnCompleted; doOnEach; doOnError; doOnNext; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,Do; Finally,do; doOnError; doOnCompleted; finally,do_action; finally_action; tap,ensures; tap,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOn
finallyDo,http://reactivex.io/documentation/operators/do.html,Do,do; finally,finally,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo; doAfterTerminate,doAfterTerminate; doOnComplete; doOnDispose; doOnEach; doOnError; doOnLifecycle; doOnNext; doOnSubscribe; doOnTerminate; onTerminateDetach,do; doOnCompleted; doOnError; doOnNext; finally; tap; tapOnCompleted; tapOnError; tapOnNext,doOnCompleted; doOnEach; doOnError; doOnNext; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,Do; Finally,do; doOnError; doOnCompleted; finally,do_action; finally_action; tap,ensures; tap,doOnCompleted; doOnEach; doOnError; doOnNext; doOnRequest; doOnSubscribe; doOnTerminate; doOnUnsubscribe; finallyDo,doOn
find,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
findIndex,http://reactivex.io/documentation/operators/contains.html,Contains,some,,contains; exists; isEmpty,contains; exists; isEmpty,any; contains; isEmpty,contains; findIndex; indexOf; isEmpty,contains; exists,Any; Contains,isEmpty,contains; find; find_index; is_empty; some,any?; contains?; none?,contains; exists; isEmpty,
First,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
firstElement,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
FirstOrDefault,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
firstOrElse,http://reactivex.io/documentation/operators/first.html,First,first; single,first,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,first; firstOrDefault; latest; mostRecent; next; single; singleOrDefault; takeFirst,blockingFirst; blockingSingle; first; firstElement; single; singleElement; takeFirst,find; findIndex; first; single,first; firstOrDefault; mostRecent; single; singleOrDefault; takeFirst,First; FirstOrDefault; Latest; Next; Single; SingleOrDefault,,first; first_or_default; single; single_or_default,first; first_or_default; single; single_or_default,first; firstOrElse; head; headOption; headOrElse; latest; next; single; singleOption; singleOrElse,single
FlatMap,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flatMapFirst,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flatMapIterable,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flatMapIterableWith,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flatMapLatest,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flatMapObserver,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flatMapWith,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flatMapWithMaxConcurrent,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flat_map_with_index,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
flatten,http://reactivex.io/documentation/operators/merge.html,Merge,interleave; interleave*; merge; merge*; merge-delay-error; merge-delay-error*,merge,merge; mergeDelayError; mergeWith,merge; mergeDelayError; mergeWith,merge; mergeArray; mergeArrayDelayError; mergeDelayError; mergeWith,merge; mergeAll; mergeDelayError,merge; mergeDelayError; mergeWith,Merge,merge; mergeAll,merge; merge_all; merge_observable,merge; merge_all; merge_concurrent,flatten; flattenDelayError; merge; mergeDelayError,merge
flattenDelayError,http://reactivex.io/documentation/operators/merge.html,Merge,interleave; interleave*; merge; merge*; merge-delay-error; merge-delay-error*,merge,merge; mergeDelayError; mergeWith,merge; mergeDelayError; mergeWith,merge; mergeArray; mergeArrayDelayError; mergeDelayError; mergeWith,merge; mergeAll; mergeDelayError,merge; mergeDelayError; mergeWith,Merge,merge; mergeAll,merge; merge_all; merge_observable,merge; merge_all; merge_concurrent,flatten; flattenDelayError; merge; mergeDelayError,merge
foldl,http://reactivex.io/documentation/operators/reduce.html,Reduce,into; iterate; reduce,iterate; reduce,collect; reduce,collect; reduce,collect; collectInto; reduce; reduceWith,reduce,collect; reduce,Aggregate,reduce,aggregate; expand; reduce,reduce,foldLeft; reduce,reduce
foldLeft,http://reactivex.io/documentation/operators/reduce.html,Reduce,into; iterate; reduce,iterate; reduce,collect; reduce,collect; reduce,collect; collectInto; reduce; reduceWith,reduce,collect; reduce,Aggregate,reduce,aggregate; expand; reduce,reduce,foldLeft; reduce,reduce
for,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
forall,http://reactivex.io/documentation/operators/all.html,All,every,,all,all,all,every; jortSort; jortSortUntil,all,All,,all; every,all?,forall,
ForEach,http://reactivex.io/documentation/operators/subscribe.html,Subscribe,BlockingObservable.doseq; subscribe,subscribe,BlockingObservable.forEach; forEach; subscribe,BlockingObservable.forEach; forEach; subscribe,blockingForEach; blockingSubscribe; forEachWhile; safeSubscribe; subscribe,forEach; subscribe; subscribeOnCompleted; subscribeOnError; subscribeOnNext,BlockingObservable.forEach; forEach; subscribe,ForEach; Subscribe,subscribe,BlockingObservable.for_each; subscribe,subscribe,BlockingObservable.foreach; forEach; subscribe,subscribe
forEachFuture,http://reactivex.io/documentation/operators/start.html,Start,,,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,fromCallable,start; startAsync; toAsync,asyncAction; asyncFunc; deferFuture; forEachFuture; fromAction; fromCallable; fromFunc0; fromRunnable; start; startFuture; toAsync,Start; ToAsync,start,start; start_async; to_async,,,
forEachWhile,http://reactivex.io/documentation/operators/subscribe.html,Subscribe,BlockingObservable.doseq; subscribe,subscribe,BlockingObservable.forEach; forEach; subscribe,BlockingObservable.forEach; forEach; subscribe,blockingForEach; blockingSubscribe; forEachWhile; safeSubscribe; subscribe,forEach; subscribe; subscribeOnCompleted; subscribeOnError; subscribeOnNext,BlockingObservable.forEach; forEach; subscribe,ForEach; Subscribe,subscribe,BlockingObservable.for_each; subscribe,subscribe,BlockingObservable.foreach; forEach; subscribe,subscribe
forIn,http://reactivex.io/documentation/operators/flatmap.html,FlatMap,flatmap; mapcat,concat_map; flat_map,concatMap; flatMap; flatMapIterable; StringObservable.split; switchMap,concatMap; flatMap; flatMapIterable; StringObervable.split; switchMap,concatMap; concatMapDelayError; concatMapEager; concatMapEagerDelayError; concatMapIterable; flatMap; flatMapIterable; switchMap; switchMapDelayError,concatMap; concatMapObserver; flatMap; flatMapFirst; flatMapLatest; flatMapObserver; flatMapWithMaxConcurrency; for; forIn; manySelect; selectConcat; selectConcatObserver; selectMany; selectManyObserver; selectSwitch; selectSwitchFirst; selectWithMatchConcurrent; switchMap,concatMap; flatMap; flatMapIterable; switchMap,ManySelect; SelectMany,flatMap; flatMapTo; selectMany; flatMapLatest; concatMap; concatMapTo,concat_all; expand; flat_map; for_in; many_select; select_many; select_switch,flat_map; flat_map_with_index,concatMap; flatMap; flatMapIterable; flatMapIterableWith; flatMapWith; switchMap,flatMap; flatMapWithIndex; flatMapFirst; flatMapLatest
forkJoin,http://reactivex.io/documentation/operators/zip.html,Zip,map; mapCat,zip,zip; zipWith,zip; zipWith,zip; zipArray; zipIterable; zipWith,forkJoin; zip; zipArray,zip; zipWith,Zip,zip; forkJoin,zip; zip_array,zip,zip; zipWith; zipWithIndex,zip
From,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
fromAction,http://reactivex.io/documentation/operators/from.html,From,seq,from,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,decode; from; fromAction; fromCallable; fromFunc0; fromRunnable; runAsync,fromArray; fromCallable; fromFuture; fromIterable; fromPublisher,from; fromCallback; fromEvent; fromEventPattern; fromNodeCallback; fromPromise; of; ofArrayChanges; ofObjectChanges; ofWithScheduler; pairs,asObservable; from,AsObservable; FromAsyncPattern; FromEvent; FromEventPattern; ToObservable,fromArray; fromIterator; asObservable; fromPromise,from_array; from_callback; from_future; from_iterable; from_list; from_marbles; of,of_array; of_enumerable; of_enumerator,from; items,from; toObservable
